HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP8"
                OPERATOR        "EF"
                CREATION_DATE   10-02-2021/04:29:01.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                411041880,      "182",  420523.397330,  7622332.672929, 579.901905,     "",     10-02-2021/05:43:02.0   ,       MEAS;
                411041881,      "183",  420523.527232,  7622332.636600, 579.691630,     "",     10-02-2021/05:43:14.0   ,       MEAS;
                411041882,      "184",  420518.719988,  7622333.827684, 580.028680,     "",     10-02-2021/05:43:31.0   ,       MEAS;
                411041883,      "185",  420518.770540,  7622333.906735, 579.778903,     "",     10-02-2021/05:43:42.0   ,       MEAS;
                411041884,      "186",  420505.790047,  7622337.368031, 580.194366,     "",     10-02-2021/05:44:07.0   ,       MEAS;
                411041885,      "187",  420505.762252,  7622337.332930, 579.888798,     "",     10-02-2021/05:44:18.0   ,       MEAS;
                411041886,      "188",  420503.179049,  7622337.544536, 580.337903,     "",     10-02-2021/05:45:25.0   ,       MEAS;
                411041887,      "189",  420503.099433,  7622337.480639, 579.925929,     "",     10-02-2021/05:45:35.0   ,       MEAS;
                411041888,      "190",  420500.698074,  7622338.528060, 580.164158,     "",     10-02-2021/05:45:56.0   ,       MEAS;
                411041889,      "191",  420500.345023,  7622338.732372, 579.888636,     "",     10-02-2021/05:47:31.0   ,       MEAS;
                411041890,      "192",  420505.925390,  7622363.570708, 579.671213,     "",     10-02-2021/05:48:54.0   ,       MEAS;
                411041891,      "193",  420505.930043,  7622363.522779, 579.513555,     "",     10-02-2021/05:49:08.0   ,       MEAS;
                411041892,      "194",  420508.520938,  7622362.860976, 579.558453,     "",     10-02-2021/05:49:24.0   ,       MEAS;
                411041893,      "195",  420508.541068,  7622362.852482, 579.178419,     "",     10-02-2021/05:49:35.0   ,       MEAS;
                411041894,      "196",  420511.524389,  7622361.749991, 579.362134,     "",     10-02-2021/05:49:52.0   ,       MEAS;
                411041895,      "197",  420511.563780,  7622361.783067, 579.120490,     "",     10-02-2021/05:50:02.0   ,       MEAS;
                411041896,      "198",  420521.562739,  7622359.863562, 579.228383,     "",     10-02-2021/05:50:19.0   ,       MEAS;
                411041897,      "199",  420521.556919,  7622359.875840, 578.968366,     "",     10-02-2021/05:50:31.0   ,       MEAS;
                411041898,      "200",  420525.389146,  7622358.619468, 579.312346,     "",     10-02-2021/05:50:43.0   ,       MEAS;
                411041899,      "201",  420525.413135,  7622358.646537, 579.012626,     "",     10-02-2021/05:50:54.0   ,       MEAS;
                411041900,      "202",  420527.255938,  7622383.750164, 578.830218,     "",     10-02-2021/05:51:31.0   ,       MEAS;
                411041901,      "203",  420527.198488,  7622383.708497, 578.463545,     "",     10-02-2021/05:51:42.0   ,       MEAS;
                411041902,      "204",  420523.955534,  7622384.466282, 578.965334,     "",     10-02-2021/05:51:59.0   ,       MEAS;
                411041903,      "205",  420524.085651,  7622384.289326, 578.739127,     "",     10-02-2021/05:52:14.0   ,       MEAS;
                411041904,      "206",  420516.106723,  7622386.104064, 578.937895,     "",     10-02-2021/05:52:37.0   ,       MEAS;
                411041905,      "207",  420516.035247,  7622386.075008, 578.800447,     "",     10-02-2021/05:52:49.0   ,       MEAS;
                411041906,      "208",  420513.182135,  7622386.513977, 578.944643,     "",     10-02-2021/05:53:04.0   ,       MEAS;
                411041907,      "209",  420513.269269,  7622386.486535, 578.581270,     "",     10-02-2021/05:53:17.0   ,       MEAS;
                411041908,      "210",  420510.371311,  7622387.415889, 578.942685,     "",     10-02-2021/05:53:35.0   ,       MEAS;
                411041909,      "211",  420510.383724,  7622387.543185, 578.620348,     "",     10-02-2021/05:53:50.0   ,       MEAS;
                411041910,      "212",  420515.517657,  7622411.784111, 578.531682,     "",     10-02-2021/05:54:44.0   ,       MEAS;
                411041911,      "213",  420515.511070,  7622411.901409, 578.275860,     "",     10-02-2021/05:55:22.0   ,       MEAS;
                411041912,      "214",  420518.166665,  7622411.604061, 578.472929,     "",     10-02-2021/05:55:36.0   ,       MEAS;
                411041913,      "215",  420518.220672,  7622411.643985, 578.271024,     "",     10-02-2021/05:55:57.0   ,       MEAS;
                411041914,      "216",  420520.853954,  7622410.916834, 578.476284,     "",     10-02-2021/05:56:31.0   ,       MEAS;
                411041915,      "217",  420520.891381,  7622410.914835, 578.261300,     "",     10-02-2021/05:56:47.0   ,       MEAS;
                411041916,      "218",  420526.696665,  7622409.387060, 578.372947,     "",     10-02-2021/05:57:07.0   ,       MEAS;
                411041917,      "219",  420526.668695,  7622409.385643, 578.054167,     "",     10-02-2021/05:57:19.0   ,       MEAS;
                411041918,      "220",  420529.215199,  7622408.798988, 578.347768,     "",     10-02-2021/05:57:32.0   ,       MEAS;
                411041919,      "221",  420529.242076,  7622408.791672, 577.979639,     "",     10-02-2021/05:57:45.0   ,       MEAS;
                411041920,      "222",  420537.805072,  7622542.162981, 583.139724,     "",     10-02-2021/06:01:28.0   ,       MEAS;
                411041921,      "223",  420537.898257,  7622542.100887, 582.934718,     "",     10-02-2021/06:01:46.0   ,       MEAS;
                411041922,      "224",  420532.143546,  7622542.807679, 583.200675,     "",     10-02-2021/06:02:03.0   ,       MEAS;
                411041923,      "225",  420532.075500,  7622543.069527, 582.823015,     "",     10-02-2021/06:02:15.0   ,       MEAS;
                411041924,      "226",  420526.353111,  7622543.473717, 583.492637,     "",     10-02-2021/06:02:34.0   ,       MEAS;
                411041925,      "227",  420526.364240,  7622543.432499, 583.244745,     "",     10-02-2021/06:02:47.0   ,       MEAS;
                411041926,      "228",  420516.380649,  7622543.578983, 583.757182,     "",     10-02-2021/06:03:07.0   ,       MEAS;
                411041927,      "229",  420516.366098,  7622543.638350, 583.341069,     "",     10-02-2021/06:03:19.0   ,       MEAS;
                411041928,      "230",  420512.285971,  7622543.131180, 583.594549,     "",     10-02-2021/06:03:36.0   ,       MEAS;
                411041929,      "231",  420512.228705,  7622543.095334, 583.396520,     "",     10-02-2021/06:03:48.0   ,       MEAS;
                411041930,      "232",  420513.846339,  7622516.443962, 581.847314,     "",     10-02-2021/06:04:57.0   ,       MEAS;
