IDEX


HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E7"
                OPERATOR        "MM"
                CREATION_DATE   01-08-2020/02:35:23.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                25166107,       "193",  419422.713047,  7624414.550640, 616.0779                                                                                        95,     "--",   01-08-2020/04:11:26.0   ,       MEAS;
                25166110,       "194",  419410.131223,  7624437.444965, 619.3990                                                                                        85,     "--",   01-08-2020/04:12:15.0   ,       MEAS;
                25166113,       "195",  419410.170414,  7624437.423181, 619.2878                                                                                        13,     "--",   01-08-2020/04:12:30.0   ,       MEAS;
                25166116,       "196",  419393.608483,  7624459.751125, 621.8779                                                                                        24,     "--",   01-08-2020/04:13:22.0   ,       MEAS;
                25166119,       "197",  419393.665464,  7624459.699321, 621.6878                                                                                        73,     "--",   01-08-2020/04:13:51.0   ,       MEAS;
                25166120,       "198",  419392.122412,  7624459.075650, 622.0270                                                                                        19,     "",     01-08-2020/04:13:22.0   ,       MEAS;
                25166121,       "199",  419392.106638,  7624459.021560, 621.9059                                                                                        61,     "",     01-08-2020/04:13:44.0   ,       MEAS;
                25166122,       "200",  419405.462947,  7624435.889510, 619.8726                                                                                        05,     "",     01-08-2020/04:14:27.0   ,       MEAS;
                25166123,       "201",  419405.431749,  7624435.927961, 619.8348                                                                                        77,     "",     01-08-2020/04:14:44.0   ,       MEAS;
                25166124,       "202",  419418.746017,  7624413.101726, 615.5386                                                                                        16,     "",     01-08-2020/04:15:34.0   ,       MEAS;
                25166125,       "203",  419418.729903,  7624413.180137, 615.5270                                                                                        70,     "",     01-08-2020/04:15:54.0   ,       MEAS;
                25166126,       "204",  419431.493735,  7624391.911027, 613.7515                                                                                        26,     "",     01-08-2020/04:16:38.0   ,       MEAS;
                25166127,       "205",  419431.505379,  7624391.872829, 613.6881                                                                                        44,     "",     01-08-2020/04:17:09.0   ,       MEAS;
                25166128,       "206",  419427.630045,  7624389.837058, 613.6029                                                                                        87,     "",     01-08-2020/04:17:43.0   ,       MEAS;
                25166129,       "207",  419427.596250,  7624389.822157, 613.5413                                                                                        34,     "",     01-08-2020/04:18:05.0   ,       MEAS;
                25166130,       "208",  419417.392553,  7624412.970441, 615.3823                                                                                        41,     "",     01-08-2020/04:18:54.0   ,       MEAS;
                25166131,       "209",  419417.398808,  7624413.048699, 615.3492                                                                                        43,     "",     01-08-2020/04:19:09.0   ,       MEAS;
