HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E13"
                OPERATOR        "SW"
                CREATION_DATE   24-04-2022/06:43:56.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                192938077,      "187",  426817.955505,  7665339.592655, 332.903728,     "",     24-04-2022/08:48:17.0   ,       MEAS;
                192938078,      "188",  426817.994780,  7665339.587147, 332.802675,     "",     24-04-2022/08:48:30.0   ,       MEAS;
                192938079,      "189",  426821.567628,  7665346.104634, 332.664096,     "",     24-04-2022/08:49:34.0   ,       MEAS;
                192938080,      "190",  426821.586369,  7665346.107953, 332.597128,     "",     24-04-2022/08:49:45.0   ,       MEAS;
                192938081,      "191",  426827.193302,  7665353.368558, 332.948582,     "",     24-04-2022/08:50:40.0   ,       MEAS;
                192938082,      "192",  426827.230144,  7665353.372116, 332.923356,     "",     24-04-2022/08:50:53.0   ,       MEAS;
                192938083,      "193",  426785.929015,  7665331.983165, 332.900644,     "",     24-04-2022/08:54:23.0   ,       MEAS;
                192938084,      "194",  426785.927244,  7665331.991685, 332.802915,     "",     24-04-2022/08:54:30.0   ,       MEAS;
                192938085,      "195",  426791.594417,  7665341.423691, 332.487739,     "",     24-04-2022/08:54:55.0   ,       MEAS;
                192938086,      "196",  426791.605897,  7665341.437171, 332.445692,     "",     24-04-2022/08:55:03.0   ,       MEAS;
                192938087,      "197",  426795.002632,  7665349.471892, 332.110713,     "",     24-04-2022/08:55:31.0   ,       MEAS;
                192938088,      "198",  426794.993027,  7665349.472810, 332.048172,     "",     24-04-2022/08:55:39.0   ,       MEAS;
                192938089,      "199",  426800.186994,  7665359.512857, 331.352269,     "",     24-04-2022/08:56:11.0   ,       MEAS;
                192938090,      "200",  426800.180879,  7665359.524469, 331.332415,     "",     24-04-2022/08:56:23.0   ,       MEAS;
                192938091,      "201",  426806.440157,  7665367.233316, 331.742991,     "",     24-04-2022/08:56:58.0   ,       MEAS;
                192938092,      "202",  426806.444053,  7665367.245613, 331.708851,     "",     24-04-2022/08:57:07.0   ,       MEAS;
                192938093,      "203",  426766.901926,  7665344.247947, 331.743349,     "",     24-04-2022/08:59:04.0   ,       MEAS;
                192938094,      "204",  426766.907879,  7665344.252032, 331.715622,     "",     24-04-2022/08:59:15.0   ,       MEAS;
                192938095,      "205",  426770.196326,  7665352.665126, 331.481820,     "",     24-04-2022/08:59:39.0   ,       MEAS;
                192938096,      "206",  426770.201770,  7665352.658595, 331.428707,     "",     24-04-2022/08:59:47.0   ,       MEAS;
                192938097,      "207",  426772.071619,  7665359.389673, 331.318711,     "",     24-04-2022/09:00:05.0   ,       MEAS;
                192938098,      "208",  426772.071266,  7665359.395566, 331.215269,     "",     24-04-2022/09:00:13.0   ,       MEAS;
                192938099,      "209",  426775.758798,  7665365.419479, 331.331222,     "",     24-04-2022/09:00:39.0   ,       MEAS;
                192938100,      "210",  426775.765985,  7665365.408289, 331.279784,     "",     24-04-2022/09:00:48.0   ,       MEAS;
                192938101,      "211",  426779.172807,  7665373.856168, 330.986921,     "",     24-04-2022/09:01:14.0   ,       MEAS;
                192938102,      "212",  426779.175244,  7665373.848969, 330.935742,     "",     24-04-2022/09:01:24.0   ,       MEAS;
                192938103,      "213",  426743.401408,  7665357.394298, 331.527733,     "",     24-04-2022/09:03:15.0   ,       MEAS;
                192938104,      "214",  426743.382610,  7665357.393317, 331.386663,     "",     24-04-2022/09:03:25.0   ,       MEAS;
                192938105,      "215",  426746.469383,  7665362.957506, 331.318664,     "",     24-04-2022/09:04:49.0   ,       MEAS;
                192938106,      "216",  426746.473437,  7665362.964389, 331.300830,     "",     24-04-2022/09:04:59.0   ,       MEAS;
                192938107,      "217",  426749.076252,  7665369.001065, 331.333852,     "",     24-04-2022/09:05:57.0   ,       MEAS;
                192938108,      "218",  426749.102135,  7665369.005850, 331.253848,     "",     24-04-2022/09:06:07.0   ,       MEAS;
                192938109,      "219",  426751.548660,  7665373.944178, 331.224584,     "",     24-04-2022/09:07:07.0   ,       MEAS;
                192938110,      "220",  426751.542392,  7665373.945483, 331.186951,     "",     24-04-2022/09:07:16.0   ,       MEAS;
                192938111,      "221",  426754.189502,  7665379.400606, 331.098204,     "",     24-04-2022/09:08:14.0   ,       MEAS;
                192938112,      "222",  426754.188117,  7665379.404729, 331.050508,     "",     24-04-2022/09:08:24.0   ,       MEAS;
                192938113,      "223",  426683.505251,  7665390.596826, 333.780762,     "",     24-04-2022/09:18:48.0   ,       MEAS;
                192938114,      "224",  426596.784439,  7665400.989162, 340.136200,     "",     24-04-2022/09:21:50.0   ,       MEAS;
                192938115,      "225",  426596.769714,  7665400.959929, 340.041279,     "",     24-04-2022/09:22:05.0   ,       MEAS;
                192938116,      "226",  426598.200312,  7665405.140351, 340.327055,     "",     24-04-2022/09:23:14.0   ,       MEAS;
                192938117,      "227",  426598.190614,  7665405.147035, 340.256532,     "",     24-04-2022/09:23:26.0   ,       MEAS;
                192938118,      "228",  426600.473528,  7665410.050089, 340.657730,     "",     24-04-2022/09:24:29.0   ,       MEAS;
                192938119,      "229",  426600.477391,  7665410.042528, 340.626969,     "",     24-04-2022/09:24:46.0   ,       MEAS;
                192938120,      "230",  426607.084782,  7665425.970110, 341.443618,     "",     24-04-2022/09:25:49.0   ,       MEAS;
                192938121,      "231",  426607.065591,  7665425.949045, 341.406717,     "",     24-04-2022/09:26:11.0   ,       MEAS;
                192938122,      "232",  426616.039978,  7665437.791625, 341.571607,     "",     24-04-2022/09:27:38.0   ,       MEAS;
                192938123,      "233",  426616.037640,  7665437.794504, 341.542294,     "",     24-04-2022/09:27:55.0   ,       MEAS;
                192938124,      "234",  426620.198201,  7665389.522313, 338.080509,     "",     24-04-2022/09:30:01.0   ,       MEAS;
                192938125,      "235",  426620.193659,  7665389.521685, 337.973679,     "",     24-04-2022/09:30:11.0   ,       MEAS;
                192938126,      "236",  426625.616646,  7665397.274767, 338.172254,     "",     24-04-2022/09:30:35.0   ,       MEAS;
                192938127,      "237",  426625.614937,  7665397.276209, 338.147867,     "",     24-04-2022/09:30:41.0   ,       MEAS;
                192938128,      "238",  426629.834064,  7665402.235318, 338.268878,     "",     24-04-2022/09:32:40.0   ,       MEAS;
