EADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E1"
                OPERATOR        "OO"
                CREATION_DATE   07-08-2020/06:34:21.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                142606474,      "232",  398197.238032,  7607122.188088, 877.726388,     "",     07-08-2020/10:32:18.0   ,       MEAS;
                142606475,      "233",  398197.251379,  7607122.219357, 877.641233,     "",     07-08-2020/10:32:29.0   ,       MEAS;
                142606476,      "234",  398222.036123,  7607132.606464, 879.149524,     "",     07-08-2020/10:33:59.0   ,       MEAS;
                142606477,      "235",  398222.064489,  7607132.619200, 879.115541,     "",     07-08-2020/10:34:15.0   ,       MEAS;
                142606478,      "236",  398244.551195,  7607141.261690, 881.104813,     "",     07-08-2020/10:35:04.0   ,       MEAS;
                142606479,      "237",  398244.471318,  7607141.278159, 880.972712,     "",     07-08-2020/10:35:18.0   ,       MEAS;
                142606480,      "238",  398267.457446,  7607149.975053, 883.349443,     "",     07-08-2020/10:36:15.0   ,       MEAS;
                142606481,      "239",  398267.442734,  7607149.996463, 883.304834,     "",     07-08-2020/10:36:24.0   ,       MEAS;
                142606482,      "240",  398268.902719,  7607147.269154, 883.393234,     "",     07-08-2020/10:37:47.0   ,       MEAS;
                142606483,      "241",  398268.905047,  7607147.251561, 883.335575,     "",     07-08-2020/10:37:59.0   ,       MEAS;
                142606484,      "242",  398245.254411,  7607135.752674, 880.953006,     "",     07-08-2020/10:39:24.0   ,       MEAS;
                142606485,      "243",  398245.245056,  7607135.773753, 880.894564,     "",     07-08-2020/10:39:32.0   ,       MEAS;
                142606486,      "244",  398222.710147,  7607127.686195, 879.012434,     "",     07-08-2020/10:40:23.0   ,       MEAS;
                142606487,      "245",  398222.688495,  7607127.688016, 878.980929,     "",     07-08-2020/10:40:32.0   ,       MEAS;
                142606488,      "246",  398198.277535,  7607118.743876, 877.795729,     "",     07-08-2020/10:41:28.0   ,       MEAS;
                142606489,      "247",  398198.270017,  7607118.760197, 877.740428,     "",     07-08-2020/10:41:38.0   ,       MEAS;
                142606490,      "248",  398194.847078,  7607129.459440, 877.722551,     "",     07-08-2020/10:43:03.0   ,       MEAS;
                142606491,      "249",  398194.826826,  7607129.494984, 877.720458,     "",     07-08-2020/10:43:44.0   ,       MEAS;
                142606492,      "250",  398218.391298,  7607137.910677, 879.126157,     "",     07-08-2020/10:45:12.0   ,       MEAS;
                142606493,      "251",  398218.400286,  7607137.924566, 879.062680,     "",     07-08-2020/10:45:25.0   ,       MEAS;
                142606494,      "252",  398241.787973,  7607147.078556, 881.075894,     "",     07-08-2020/10:46:52.0   ,       MEAS;
                142606495,      "253",  398241.772666,  7607147.076571, 881.034433,     "",     07-08-2020/10:47:01.0   ,       MEAS;
                142606496,      "254",  398264.104370,  7607156.861520, 883.453353,     "",     07-08-2020/10:47:52.0   ,       MEAS;
                142606497,      "255",  398264.096051,  7607156.851596, 883.404477,     "",     07-08-2020/10:48:03.0   ,       MEAS;
                142606498,      "256",  398262.893358,  7607158.869943, 883.509912,     "",     07-08-2020/10:49:20.0   ,       MEAS;
                142606499,      "257",  398262.900902,  7607158.851719, 883.464952,     "",     07-08-2020/10:49:34.0   ,       MEAS;
                142606500,      "258",  398240.574292,  7607150.323638, 881.206965,     "",     07-08-2020/10:51:33.0   ,       MEAS;
                142606501,      "259",  398240.570180,  7607150.323251, 881.173272,     "",     07-08-2020/10:51:45.0   ,       MEAS;
                142606502,      "260",  398215.835266,  7607142.585098, 879.179145,     "",     07-08-2020/10:52:27.0   ,       MEAS;
                142606503,      "261",  398215.860090,  7607142.601119, 879.118715,     "",     07-08-2020/10:52:39.0   ,       MEAS;
                142606504,      "262",  398193.077854,  7607133.594953, 877.785005,     "",     07-08-2020/10:53:20.0   ,       MEAS;
                142606505,      "263",  398193.036984,  7607133.574037, 877.637120,     "",     07-08-2020/10:53:33.0   ,       MEAS;
                142606340,      "101",  398156.000000,  7607168.000000, 880.000000,     "",     07-08-2020/06:58:48.0   ,       FIX;
                142606339,      "TS2",  398141.000000,  7607134.000000, 877.000000,     "",     07-08-2020/06:54:32.0   ,       FIX;
                THEMINFO (PointNo, PointID, Attribute, Value)
                END THEMINFO
                ANNOTATIONS (PointNo, PointID, Annotation)
                END ANNOTATIONS
        END POINTS
END DATABASE
METEO
        ELEMENTS (StnNo, StnID, Date, DryTemp, AtmPress, RefCoeff)
                142606339,      "TS2",  07-08-2020/06:34:22.0,  12.000000,     1013.250000,     0.130000;
        END ELEMENTS
END METEO
THEODOLITE
        INSTRUMENTS (Name, TheoNo, EDMNo, V_TYPE)
                "TS02power-7\"",        1311652,        0,      ZENITH;
        END INSTRUMENTS
        CONFIGS (CfgNo, InstrName, Date, AddConst)
                1,      "TS02power-7\"",        07-08-2020/06:58:48.0,  0.000000;
        END CONFIGS
        SETUP
                STN_NO  142606339
                STN_ID  "TS2"
                INST_HT 1.474000;
        END SETUP
        SLOPE (TgtNo, TgtID, CfgNo, Hz, Vz, SDist, RefHt, Date, Ppm, ApplType, Flags)
                142606341,      "101",  1,      305.033570,     89.565640,     35.739700,       2.020000,       07-08-2020/06:58:48.0,  0.000000,       107,   00001100;
                142606344,      "102",  1,      208.142900,     87.162010,     100.598300,      2.034000,       07-08-2020/07:57:55.0,  0.000000,       107,   00001100;
                142606345,      "103",  1,      208.145570,     87.190000,     100.593300,      2.034000,       07-08-2020/07:58:46.0,  0.000000,       107,   00001100;
                142606346,      "104",  1,      200.145950,     87.212830,     79.352100,       2.034000,       07-08-2020/07:59:55.0,  0.000000,       107,   00001100;
                142606347,      "105",  1,      200.145890,     87.272250,     79.368500,       2.034000,       07-08-2020/08:00:19.0,  0.000000,       107,   00001100;
                142606348,      "106",  1,      187.195840,     87.524390,     60.168000,       2.034000,       07-08-2020/08:01:39.0,  0.000000,       107,   00001100;
                142606349,      "107",  1,      187.165350,     87.595870,     60.192700,       2.034000,       07-08-2020/08:01:59.0,  0.000000,       107,   00001100;
                142606350,      "108",  1,      163.590200,     87.571940,     43.296800,       2.034000,       07-08-2020/08:03:14.0,  0.000000,       107,   00001100;
                142606351,      "109",  1,      163.590210,     88.032320,     43.284900,       2.034000,       07-08-2020/08:03:34.0,  0.000000,       107,   00001100;
                142606352,      "110",  1,      167.323840,     87.465650,     39.398300,       2.034000,       07-08-2020/08:05:08.0,  0.000000,       107,   00001100;
                142606353,      "111",  1,      167.292640,     87.565730,     39.398100,       2.034000,       07-08-2020/08:05:22.0,  0.000000,       107,   00001100;
                142606354,      "112",  1,      191.195690,     87.455880,     55.309500,       2.034000,       07-08-2020/08:07:01.0,  0.000000,       107,   00001100;
                142606355,      "113",  1,      191.195710,     87.511130,     55.298100,       2.034000,       07-08-2020/08:07:17.0,  0.000000,       107,   00001100;
                142606356,      "114",  1,      202.341820,     87.241210,     76.870400,       2.034000,       07-08-2020/08:08:17.0,  0.000000,       107,   00001100;
                142606357,      "115",  1,      202.342000,     87.264280,     76.839000,       2.034000,       07-08-2020/08:08:35.0,  0.000000,       107,   00001100;
                142606358,      "116",  1,      210.200880,     87.064210,     99.405200,       2.034000,       07-08-2020/08:09:38.0,  0.000000,       107,   00001100;
                142606359,      "117",  1,      210.200940,     87.093890,     99.386500,       2.034000,       07-08-2020/08:09:55.0,  0.000000,       107,   00001100;
                142606360,      "118",  1,      212.430020,     87.094150,     97.724400,       2.034000,       07-08-2020/08:12:04.0,  0.000000,       107,   00001100;
                142606361,      "119",  1,      212.423230,     87.105220,     97.725200,       2.034000,       07-08-2020/08:12:25.0,  0.000000,       107,   00001100;
                142606362,      "120",  1,      206.531360,     87.255450,     74.049700,       2.034000,       07-08-2020/08:13:38.0,  0.000000,       107,   00001100;
                142606363,      "121",  1,      206.524170,     87.290310,     74.038400,       2.034000,       07-08-2020/08:13:54.0,  0.000000,       107,   00001100;
                142606364,      "122",  1,      195.133780,     87.455040,     53.252400,       2.034000,       07-08-2020/08:14:46.0,  0.000000,       107,   00001100;
                142606365,      "123",  1,      195.151650,     87.474700,     53.244900,       2.034000,       07-08-2020/08:15:02.0,  0.000000,       107,   00001100;
                142606366,      "124",  1,      170.290070,     87.514430,     36.314000,       2.034000,       07-08-2020/08:16:00.0,  0.000000,       107,   00001100;
                142606367,      "125",  1,      170.313810,     88.002250,     36.329200,       2.034000,       07-08-2020/08:16:15.0,  0.000000,       107,   00001100;
                142606368,      "126",  1,      173.205250,     87.395010,     33.392500,       2.034000,       07-08-2020/08:18:00.0,  0.000000,       107,   00001100;
                142606369,      "127",  1,      173.181520,     87.423790,     33.338600,       2.034000,       07-08-2020/08:18:18.0,  0.000000,       107,   00001100;
                142606370,      "128",  1,      197.162760,     87.434500,     51.419500,       2.034000,       07-08-2020/08:19:09.0,  0.000000,       107,   00001100;
                142606371,      "129",  1,      197.162800,     87.484060,     51.401900,       2.034000,       07-08-2020/08:19:20.0,  0.000000,       107,   00001100;
                142606372,      "130",  1,      207.581990,     87.212410,     74.022900,       2.034000,       07-08-2020/08:20:38.0,  0.000000,       107,   00001100;
                142606373,      "131",  1,      207.582170,     87.265030,     74.005600,       2.034000,       07-08-2020/08:20:54.0,  0.000000,       107,   00001100;
                142606374,      "132",  1,      213.402280,     87.055710,     97.067500,       2.034000,       07-08-2020/08:21:52.0,  0.000000,       107,   00001100;
                142606375,      "133",  1,      213.402330,     87.073180,     97.034800,       2.034000,       07-08-2020/08:22:04.0,  0.000000,       107,   00001100;
                142606376,      "134",  1,      214.271690,     87.060400,     96.627200,       2.034000,       07-08-2020/08:23:42.0,  0.000000,       107,   00001100;
                142606377,      "135",  1,      214.261450,     87.101660,     96.603300,       2.034000,       07-08-2020/08:24:00.0,  0.000000,       107,   00001100;
                142606378,      "136",  1,      209.090330,     87.174100,     73.149800,       2.034000,       07-08-2020/08:25:38.0,  0.000000,       107,   00001100;
                142606379,      "137",  1,      209.081820,     87.230030,     73.110200,       2.034000,       07-08-2020/08:25:54.0,  0.000000,       107,   00001100;
                142606380,      "138",  1,      199.233310,     87.424140,     50.063200,       2.034000,       07-08-2020/08:27:14.0,  0.000000,       107,   00001100;
                142606381,      "139",  1,      199.233300,     87.463530,     50.018900,       2.034000,       07-08-2020/08:27:25.0,  0.000000,       107,   00001100;
                142606382,      "140",  1,      174.562410,     87.271980,     31.967100,       2.034000,       07-08-2020/08:28:33.0,  0.000000,       107,   00001100;
                142606383,      "141",  1,      174.562470,     87.352560,     31.987100,       2.034000,       07-08-2020/08:28:45.0,  0.000000,       107,   00001100;
                142606384,      "142",  1,      276.044950,     88.174230,     100.103500,      2.034000,       07-08-2020/08:45:58.0,  0.000000,       107,   00001100;
