HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP12"
                OPERATOR        "EF"
                CREATION_DATE   06-07-2022/08:09:22.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                444596312,      "182",  427462.330482,  7663139.710337, 353.923582,     "",     06-07-2022/10:04:34.0   ,       MEAS;
                444596313,      "183",  427462.329924,  7663139.585546, 353.396814,     "",     06-07-2022/10:04:48.0   ,       MEAS;
                444596314,      "184",  427462.199898,  7663134.498600, 354.330745,     "",     06-07-2022/10:05:09.0   ,       MEAS;
                444596315,      "185",  427462.038076,  7663134.348268, 353.726372,     "",     06-07-2022/10:05:20.0   ,       MEAS;
                444596316,      "186",  427462.197882,  7663133.448425, 354.444558,     "",     06-07-2022/10:05:35.0   ,       MEAS;
                444596317,      "187",  427462.163116,  7663133.453107, 353.923855,     "",     06-07-2022/10:05:49.0   ,       MEAS;
                444596318,      "188",  427462.187875,  7663131.826488, 354.490796,     "",     06-07-2022/10:06:03.0   ,       MEAS;
                444596319,      "189",  427462.084666,  7663131.888250, 354.017442,     "",     06-07-2022/10:06:18.0   ,       MEAS;
                444596320,      "190",  427463.149546,  7663074.201043, 357.564584,     "",     06-07-2022/10:07:34.0   ,       MEAS;
                444596321,      "191",  427463.090535,  7663074.130081, 357.431701,     "",     06-07-2022/10:07:52.0   ,       MEAS;
                444596322,      "192",  427435.574253,  7663082.267970, 355.970451,     "",     06-07-2022/10:09:54.0   ,       MEAS;
                444596323,      "193",  427435.437014,  7663082.001179, 355.610948,     "",     06-07-2022/10:10:19.0   ,       MEAS;
                444596324,      "194",  427436.197193,  7663131.645019, 353.384742,     "",     06-07-2022/10:11:27.0   ,       MEAS;
                444596325,      "195",  427436.190969,  7663131.775890, 352.890625,     "",     06-07-2022/10:11:44.0   ,       MEAS;
                444596326,      "196",  427436.625492,  7663134.930935, 353.238232,     "",     06-07-2022/10:12:00.0   ,       MEAS;
                444596327,      "197",  427436.584563,  7663134.932655, 352.821536,     "",     06-07-2022/10:12:12.0   ,       MEAS;
                444596328,      "198",  427436.818501,  7663136.493594, 352.977103,     "",     06-07-2022/10:12:26.0   ,       MEAS;
                444596329,      "199",  427436.810566,  7663136.493485, 352.696114,     "",     06-07-2022/10:12:37.0   ,       MEAS;
                444596330,      "200",  427437.042238,  7663142.623030, 352.637203,     "",     06-07-2022/10:12:57.0   ,       MEAS;
